Role,,Company_Type,Industry,,Location_Tier,Experience_Level,Job_Type,,Salary_LPA,Skills_Required,Education_Required
Data Analyst,,PSU/Govt,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,4.4,"SQL, Tableau, Power BI, Statistics, Excel, Python",B.Tech/B.E.
Software Engineer,,MNC,Government/PSU,,Tier 1,Junior (1-3 yrs),Full-Time,,8.3,"Python, Git, REST APIs",M.Tech/M.E.
Machine Learning Engineer,,PSU/Govt,EdTech,,Tier 2,Mid (3-6 yrs),Full-Time,,11.6,"Docker, TensorFlow, PyTorch, Scikit-learn",MBA
Python Developer,,MNC,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,48,"Django, FastAPI, Docker",MBA
Power BI Developer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,10.1,"ETL, Data Modeling, DAX",B.Tech/B.E.
QA Engineer,,Startup,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,5.9,"Python, Postman, API Testing, JIRA, Selenium",MCA
Data Engineer,,Startup,Banking & Finance,,Remote,Fresher (0-1 yr),Full-Time,,5.7,"Airflow, AWS, Spark, Python, Kafka",B.Sc (CS/IT)
Software Engineer,,PSU/Govt,FinTech,,Remote,Senior (6-10 yrs),Full-Time,,16.1,"Algorithms, Python, System Design, Java",MBA
Java Developer,,Indian Unicorn,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,13.2,"Microservices, REST APIs, Maven, Hibernate, SQL",B.Tech/B.E.
Backend Developer,,Indian Unicorn,HealthTech,,Tier 1,Junior (1-3 yrs),Internship,,2.2,"Django, FastAPI, Node.js, PostgreSQL, Docker, MongoDB",M.Tech/M.E.
Software Engineer,,Indian Unicorn,E-Commerce,,Remote,Mid (3-6 yrs),Full-Time,,21.8,"Git, System Design, C++, Algorithms, Python",BCA
Node.js Developer,,Startup,HealthTech,,Remote,Junior (1-3 yrs),Full-Time,,10.4,"REST APIs, Express.js, TypeScript, MongoDB, Node.js, JavaScript",B.Tech/B.E.
Java Developer,,Startup,HealthTech,,Remote,Fresher (0-1 yr),Full-Time,,5.7,"Hibernate, REST APIs, Maven, Spring Boot, Microservices, SQL",MCA
Node.js Developer,,Startup,E-Commerce,,Tier 1,Junior (1-3 yrs),Internship,,2.6,"REST APIs, Express.js, TypeScript",M.Tech/M.E.
Computer Vision Engineer,,Startup,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,11.2,"TensorFlow, YOLO, OpenCV, Deep Learning, PyTorch",MCA
Node.js Developer,,MNC,FinTech,,Tier 1,Fresher (0-1 yr),Full-Time,,5.1,"Express.js, REST APIs, JavaScript",M.Tech/M.E.
MLOps Engineer,,Indian Unicorn,Banking & Finance,,Tier 1,Senior (6-10 yrs),Part-Time,,55.4,"Airflow, Kubernetes, MLflow, CI/CD",M.Tech/M.E.
DevOps Engineer,,MNC,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,43,"Jenkins, Docker, Ansible, AWS, Linux, CI/CD",M.Tech/M.E.
Python Developer,,Startup,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,6.1,"AWS, Python, Django",BCA
Product Manager,,MNC,Banking & Finance,,Tier 1,Senior (6-10 yrs),Full-Time,,28,"JIRA, Product Strategy, User Research, Roadmapping",B.Tech/B.E.
Technical Lead,,MNC,HealthTech,,Remote,Fresher (0-1 yr),Internship,,2.6,"Team Leadership, Code Review, Agile",B.Tech/B.E.
Java Developer,,MNC,Logistics,,Tier 2,Mid (3-6 yrs),Full-Time,,22.7,"Hibernate, SQL, Maven, Microservices, Spring Boot, Java",B.Tech/B.E.
Data Engineer,,Startup,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,7.4,"Python, SQL, Spark, ETL, AWS",MBA
Android Developer,,Indian Unicorn,EdTech,,Tier 1,Junior (1-3 yrs),Full-Time,,14.6,"Jetpack Compose, REST APIs, Android SDK, Java, Firebase",M.Tech/M.E.
Frontend Developer,,Startup,Automobile,,Tier 2,Junior (1-3 yrs),Full-Time,,10.1,"React, JavaScript, TypeScript, Tailwind CSS, HTML/CSS",M.Tech/M.E.
Data Analyst,,MNC,Information Technology,,Tier 2,Mid (3-6 yrs),Internship,,1.1,"Tableau, Power BI, Excel, SQL, Python, Statistics",B.Tech/B.E.
Data Analyst,,MNC,HealthTech,,Remote,Lead (10+ yrs),Full-Time,,58.9,"Data Visualization, Python, Tableau, Statistics",MCA
Data Engineer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,17.5,"Python, Airflow, dbt, SQL",M.Tech/M.E.
QA Engineer,,Indian Unicorn,Government/PSU,,Tier 1,Senior (6-10 yrs),Full-Time,,36.2,"Manual Testing, Python, JIRA, Selenium",M.Tech/M.E.
Java Developer,,PSU/Govt,EdTech,,Tier 1,Junior (1-3 yrs),Full-Time,,6.8,"Hibernate, REST APIs, Microservices",M.Tech/M.E.
Java Developer,,Indian Unicorn,E-Commerce,,Remote,Mid (3-6 yrs),Internship,,2.1,"Spring Boot, Maven, Hibernate, REST APIs, Java",M.Tech/M.E.
Full Stack Developer,,Startup,FinTech,,Tier 2,Senior (6-10 yrs),Full-Time,,48,"React, Docker, PostgreSQL, MongoDB, AWS, REST APIs",B.Tech/B.E.
Cloud Engineer,,MNC,Automobile,,Tier 1,Junior (1-3 yrs),Full-Time,,8.6,"Kubernetes, Azure, GCP, AWS",BCA
Machine Learning Engineer,,PSU/Govt,E-Commerce,,Tier 1,Junior (1-3 yrs),Full-Time,,8.5,"PyTorch, Scikit-learn, TensorFlow, MLOps, Docker, Python",M.Tech/M.E.
Python Developer,,MNC,Gaming,,Tier 1,Senior (6-10 yrs),Full-Time,,30.1,"FastAPI, AWS, PostgreSQL, REST APIs, Django, Docker",M.Tech/M.E.
React Developer,,Indian Unicorn,Telecom,,Remote,Junior (1-3 yrs),Full-Time,,12.6,"JavaScript, Next.js, TypeScript",M.Tech/M.E.
Cybersecurity Analyst,,Startup,HealthTech,,Remote,Fresher (0-1 yr),Internship,,2.5,"SIEM, Ethical Hacking, Penetration Testing",B.Tech/B.E.
Android Developer,,PSU/Govt,Information Technology,,Tier 2,Lead (10+ yrs),Internship,,1.8,"Kotlin, Firebase, Android SDK, REST APIs, Java",B.Tech/B.E.
Python Developer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,23.2,"REST APIs, FastAPI, Python, AWS, Django",M.Tech/M.E.
Power BI Developer,,MNC,E-Commerce,,Tier 2,Senior (6-10 yrs),Full-Time,,36.6,"Data Modeling, SQL, ETL, Power BI, Azure",B.Tech/B.E.
Blockchain Developer,,MNC,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,40.6,"Ethereum, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.
AI Engineer,,PSU/Govt,FinTech,,Remote,Junior (1-3 yrs),Internship,,3,"LangChain, NLP, RAG, Prompt Engineering, OpenAI API",M.Tech/M.E.
React Developer,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,6,"Next.js, Redux, TypeScript, React, HTML/CSS",B.Tech/B.E.
Node.js Developer,,MNC,Information Technology,,Tier 2,Lead (10+ yrs),Full-Time,,67,"REST APIs, Node.js, JavaScript, TypeScript, MongoDB",B.Com + Certification
Technical Lead,,Indian Unicorn,Government/PSU,,Tier 2,Mid (3-6 yrs),Contract,,18.8,"Microservices, Agile, Code Review, System Design, AWS",B.Tech/B.E.
Android Developer,,MNC,Information Technology,,Tier 1,Lead (10+ yrs),Contract,,48.4,"Kotlin, Android SDK, Java",BCA
Data Engineer,,Indian Unicorn,Information Technology,,Remote,Senior (6-10 yrs),Internship,,2.6,"SQL, dbt, Spark, Python",PhD
MLOps Engineer,,MNC,E-Commerce,,Tier 1,Junior (1-3 yrs),Full-Time,,10.5,"Airflow, AWS, Kubernetes",B.Tech/B.E.
Business Analyst,,Indian Unicorn,Manufacturing,,Tier 1,Senior (6-10 yrs),Full-Time,,42.6,"Power BI, Agile, Excel",M.Tech/M.E.
UI/UX Designer,,Indian Unicorn,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,21.6,"Wireframing, CSS, Adobe XD, Prototyping",BCA
Frontend Developer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,20.8,"Figma, JavaScript, Next.js, React, TypeScript",M.Tech/M.E.
React Developer,,PSU/Govt,EdTech,,Remote,Lead (10+ yrs),Full-Time,,23.3,"JavaScript, React, TypeScript, Redux, HTML/CSS, Next.js",B.Tech/B.E.
Research Scientist,,Startup,Information Technology,,Remote,Fresher (0-1 yr),Contract,,6.3,"Deep Learning, PyTorch, Python, R, Publications",B.Tech/B.E.
Research Scientist,,MNC,FinTech,,Tier 1,Mid (3-6 yrs),Full-Time,,21.5,"Python, R, Statistics",B.Com + Certification
Cloud Engineer,,Startup,Manufacturing,,Tier 1,Fresher (0-1 yr),Full-Time,,4.9,"AWS, Azure, Terraform, Linux, Docker",M.Tech/M.E.
Backend Developer,,MNC,E-Commerce,,Tier 1,Fresher (0-1 yr),Full-Time,,5.8,"Python, MongoDB, Redis, PostgreSQL, Node.js",B.Sc (CS/IT)
MLOps Engineer,,Indian Unicorn,Consulting,,Tier 2,Fresher (0-1 yr),Full-Time,,6.8,"Docker, Airflow, CI/CD, Kubernetes, Python",BCA
Blockchain Developer,,MNC,Banking & Finance,,Tier 1,Mid (3-6 yrs),Full-Time,,23.8,"Ethereum, Python, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.
Data Analyst,,PSU/Govt,EdTech,,Remote,Senior (6-10 yrs),Full-Time,,18.7,"Data Visualization, Statistics, Power BI, Excel, Tableau",BCA
MLOps Engineer,,Indian Unicorn,HealthTech,,Tier 1,Fresher (0-1 yr),Full-Time,,7.5,"AWS, CI/CD, Python",B.Com + Certification
Node.js Developer,,Indian Unicorn,Information Technology,,Tier 2,Junior (1-3 yrs),Full-Time,,8.5,"TypeScript, Node.js, Express.js, JavaScript, MongoDB",B.Tech/B.E.
Full Stack Developer,,PSU/Govt,FinTech,,Tier 1,Mid (3-6 yrs),Full-Time,,12.7,"PostgreSQL, Python, Docker, REST APIs, Node.js, MongoDB",B.Tech/B.E.
Research Scientist,,Startup,Banking & Finance,,Tier 1,Lead (10+ yrs),Full-Time,,82,"Statistics, PyTorch, NLP",B.Sc (CS/IT)
Software Engineer,,PSU/Govt,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,4.2,"System Design, Git, Algorithms",M.Tech/M.E.
QA Engineer,,Startup,Logistics,,Tier 1,Fresher (0-1 yr),Full-Time,,6.5,"Python, API Testing, Manual Testing, Postman, JIRA, Selenium",BCA
Python Developer,,Startup,Information Technology,,Tier 1,Senior (6-10 yrs),Internship,,1,"PostgreSQL, Python, AWS, Docker, Django",BCA
Cloud Engineer,,PSU/Govt,FinTech,,Remote,Lead (10+ yrs),Full-Time,,23.3,"GCP, Azure, AWS",B.Tech/B.E.
Python Developer,,MNC,E-Commerce,,Remote,Mid (3-6 yrs),Full-Time,,14.8,"Python, FastAPI, Django",B.Tech/B.E.
Machine Learning Engineer,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Internship,,1.6,"Scikit-learn, Docker, TensorFlow",MBA
iOS Developer,,MNC,Information Technology,,Tier 1,Mid (3-6 yrs),Internship,,1.5,"Core Data, REST APIs, Xcode",B.Sc (CS/IT)
Android Developer,,MNC,HealthTech,,Tier 2,Fresher (0-1 yr),Full-Time,,4.8,"Firebase, Jetpack Compose, Java, Kotlin, Android SDK, REST APIs",B.Sc (CS/IT)
Data Analyst,,PSU/Govt,FinTech,,Remote,Junior (1-3 yrs),Internship,,2.8,"Power BI, SQL, Data Visualization, Tableau, Excel",MCA
Full Stack Developer,,Startup,EdTech,,Remote,Fresher (0-1 yr),Full-Time,,5.4,"Docker, REST APIs, Python",B.Tech/B.E.
Cybersecurity Analyst,,Indian Unicorn,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,22.2,"Ethical Hacking, SIEM, Python, Network Security, Penetration Testing",B.Tech/B.E.
AI Engineer,,MNC,E-Commerce,,Tier 1,Lead (10+ yrs),Full-Time,,71.4,"LLMs, OpenAI API, NLP, Prompt Engineering, LangChain, Vector DBs",B.Tech/B.E.
UI/UX Designer,,Indian Unicorn,Retail,,Remote,Junior (1-3 yrs),Full-Time,,13.3,"Adobe XD, Figma, CSS, Prototyping, Wireframing, User Research",B.Tech/B.E.
Power BI Developer,,Startup,Manufacturing,,Tier 1,Junior (1-3 yrs),Full-Time,,13.7,"Azure, SQL, Data Modeling, DAX",MCA
Product Manager,,Indian Unicorn,FinTech,,Tier 1,Fresher (0-1 yr),Contract,,7.2,"User Research, SQL, Roadmapping, Product Strategy, A/B Testing, Agile",MCA
AI Engineer,,Startup,Gaming,,Tier 2,Senior (6-10 yrs),Full-Time,,36.9,"OpenAI API, LLMs, Prompt Engineering, LangChain",B.Sc (CS/IT)
React Developer,,MNC,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,5.5,"JavaScript, Next.js, TypeScript, Redux",B.Tech/B.E.
Android Developer,,Indian Unicorn,HealthTech,,Tier 1,Junior (1-3 yrs),Full-Time,,14.2,"Jetpack Compose, Java, Firebase, REST APIs, Android SDK",B.Tech/B.E.
Cybersecurity Analyst,,MNC,FinTech,,Tier 1,Junior (1-3 yrs),Part-Time,,9.9,"Python, Network Security, Penetration Testing, Ethical Hacking, SIEM",MCA
Frontend Developer,,Indian Unicorn,Information Technology,,Tier 1,Senior (6-10 yrs),Contract,,51.3,"HTML/CSS, TypeScript, Figma, React, Next.js, JavaScript",B.Tech/B.E.
Data Analyst,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,9.6,"Data Visualization, Tableau, Power BI, SQL, Excel",B.Tech/B.E.
Data Analyst,,Indian Unicorn,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,24.3,"Python, Power BI, Excel, Data Visualization, Statistics",MCA
UI/UX Designer,,Startup,FinTech,,Remote,Senior (6-10 yrs),Full-Time,,37.4,"Prototyping, User Research, Wireframing, CSS, Adobe XD",B.Tech/B.E.
Power BI Developer,,Indian Unicorn,Automobile,,Remote,Mid (3-6 yrs),Full-Time,,17,"ETL, Power BI, Data Modeling, Excel",M.Tech/M.E.
DevOps Engineer,,Startup,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,4.8,"Ansible, CI/CD, Linux, Docker, Kubernetes, Jenkins",MCA
DevOps Engineer,,PSU/Govt,Manufacturing,,Remote,Mid (3-6 yrs),Full-Time,,8.8,"Ansible, Kubernetes, CI/CD, Jenkins, Terraform",B.Sc (CS/IT)
QA Engineer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Contract,,22.1,"Postman, JIRA, Python, Manual Testing, Selenium, API Testing",M.Tech/M.E.
Product Manager,,MNC,EdTech,,Tier 1,Mid (3-6 yrs),Full-Time,,16.6,"Roadmapping, Agile, Product Strategy, User Research",B.Tech/B.E.
AI Engineer,,PSU/Govt,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,13.2,"RAG, OpenAI API, Vector DBs",BCA
Software Engineer,,PSU/Govt,Gaming,,Remote,Lead (10+ yrs),Part-Time,,28.7,"System Design, C++, Data Structures",B.Tech/B.E.
React Developer,,Indian Unicorn,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,6.6,"Next.js, JavaScript, HTML/CSS, TypeScript, Redux",MCA
Software Engineer,,MNC,Logistics,,Remote,Junior (1-3 yrs),Full-Time,,9.2,"Algorithms, System Design, C++",B.Tech/B.E.
DevOps Engineer,,Indian Unicorn,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,27.3,"Ansible, Kubernetes, AWS, Terraform",B.Tech/B.E.
Business Analyst,,Startup,Manufacturing,,Tier 2,Senior (6-10 yrs),Full-Time,,34.1,"SQL, Agile, Excel",B.Tech/B.E.
Cloud Engineer,,Startup,Information Technology,,Tier 2,Senior (6-10 yrs),Full-Time,,30.3,"Docker, Terraform, GCP",M.Tech/M.E.
MLOps Engineer,,MNC,Government/PSU,,Tier 2,Lead (10+ yrs),Contract,,59.5,"Kubernetes, CI/CD, Airflow, MLflow, Python, AWS",B.Tech/B.E.
Business Analyst,,Startup,Consulting,,Remote,Junior (1-3 yrs),Full-Time,,9.3,"Requirements Gathering, Agile, JIRA, Power BI, Excel",MCA
Technical Lead,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Internship,,2.4,"Code Review, System Design, Agile",B.Tech/B.E.
Business Analyst,,Startup,EdTech,,Remote,Lead (10+ yrs),Full-Time,,73,"Excel, Power BI, JIRA, Agile, SQL",M.Tech/M.E.
React Developer,,PSU/Govt,Banking & Finance,,Tier 2,Lead (10+ yrs),Part-Time,,25.4,"Redux, JavaScript, TypeScript, Next.js, React, HTML/CSS",B.Tech/B.E.
Java Developer,,PSU/Govt,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,7.9,"Java, Maven, Spring Boot, SQL, REST APIs",M.Tech/M.E.
Software Engineer,,Startup,Logistics,,Tier 2,Mid (3-6 yrs),Contract,,24.2,"Python, System Design, Data Structures, REST APIs",B.Tech/B.E.
Full Stack Developer,,MNC,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,8.2,"Docker, Node.js, Python, REST APIs, MongoDB, React",B.Sc (CS/IT)
Data Engineer,,Indian Unicorn,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,8.7,"SQL, dbt, Airflow, AWS, ETL",M.Tech/M.E.
Data Engineer,,MNC,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,55.5,"Python, Airflow, Spark",B.Sc (CS/IT)
Business Analyst,,Indian Unicorn,EdTech,,Tier 2,Lead (10+ yrs),Full-Time,,81.3,"Agile, Power BI, JIRA",M.Tech/M.E.
Technical Lead,,MNC,FinTech,,Tier 1,Junior (1-3 yrs),Full-Time,,12,"Team Leadership, Agile, Code Review",MCA
Java Developer,,MNC,Information Technology,,Tier 2,Fresher (0-1 yr),Full-Time,,4.7,"Java, Hibernate, REST APIs, Microservices",B.Tech/B.E.
Node.js Developer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Contract,,7.7,"Express.js, MongoDB, Node.js",M.Tech/M.E.
DevOps Engineer,,MNC,FinTech,,Remote,Senior (6-10 yrs),Full-Time,,28.9,"Kubernetes, Terraform, Linux, Jenkins",MCA
NLP Engineer,,Startup,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,6.7,"HuggingFace, BERT, SpaCy, TensorFlow, Python, LLMs",B.Tech/B.E.
UI/UX Designer,,Startup,FinTech,,Tier 1,Fresher (0-1 yr),Full-Time,,6.7,"Figma, Adobe XD, Wireframing, Prototyping",B.Tech/B.E.
Full Stack Developer,,MNC,Banking & Finance,,Remote,Fresher (0-1 yr),Full-Time,,6,"Python, Docker, MongoDB, Node.js",M.Tech/M.E.
Software Engineer,,MNC,E-Commerce,,Tier 1,Junior (1-3 yrs),Part-Time,,6.4,"Python, REST APIs, C++, Java, Data Structures, Git",BCA
Cloud Engineer,,Startup,E-Commerce,,Remote,Junior (1-3 yrs),Full-Time,,11.1,"GCP, Linux, Terraform, Azure, Docker, Kubernetes",B.Tech/B.E.
Data Engineer,,Indian Unicorn,Information Technology,,Remote,Fresher (0-1 yr),Internship,,1.2,"dbt, AWS, Airflow",MCA
Python Developer,,MNC,FinTech,,Remote,Mid (3-6 yrs),Contract,,15.9,"Docker, PostgreSQL, AWS, Python, REST APIs",B.Tech/B.E.
Data Analyst,,PSU/Govt,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,21.1,"Tableau, Power BI, Data Visualization, Python",M.Tech/M.E.
Data Scientist,,MNC,FinTech,,Remote,Fresher (0-1 yr),Part-Time,,5.6,"NLP, Deep Learning, Pandas, Statistics",M.Tech/M.E.
Frontend Developer,,Startup,Telecom,,Tier 1,Mid (3-6 yrs),Full-Time,,26.9,"Next.js, JavaScript, TypeScript, HTML/CSS",B.Tech/B.E.
Android Developer,,Indian Unicorn,Information Technology,,Tier 2,Junior (1-3 yrs),Full-Time,,11.6,"REST APIs, Kotlin, Java",B.Tech/B.E.
React Developer,,Indian Unicorn,Consulting,,Tier 1,Mid (3-6 yrs),Full-Time,,24.3,"Next.js, HTML/CSS, React, TypeScript, Redux",BCA
QA Engineer,,Indian Unicorn,Manufacturing,,Tier 2,Junior (1-3 yrs),Full-Time,,13.8,"API Testing, Python, Postman, Manual Testing",BCA
React Developer,,PSU/Govt,Manufacturing,,Tier 1,Lead (10+ yrs),Full-Time,,23.3,"Redux, JavaScript, React, TypeScript, HTML/CSS, Next.js",M.Tech/M.E.
Python Developer,,Indian Unicorn,EdTech,,Tier 2,Mid (3-6 yrs),Full-Time,,32.4,"AWS, Docker, REST APIs",PhD
Android Developer,,MNC,Gaming,,Remote,Junior (1-3 yrs),Contract,,12.8,"Java, REST APIs, Android SDK, Jetpack Compose",B.Tech/B.E.
Software Engineer,,MNC,Manufacturing,,Tier 2,Junior (1-3 yrs),Full-Time,,8.5,"Python, REST APIs, Data Structures, Java, C++",B.Tech/B.E.
QA Engineer,,Startup,FinTech,,Remote,Mid (3-6 yrs),Full-Time,,20.7,"Postman, API Testing, JIRA",M.Tech/M.E.
React Developer,,Startup,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,18.9,"JavaScript, Redux, TypeScript, HTML/CSS, Next.js, React",B.Tech/B.E.
Full Stack Developer,,Startup,Gaming,,Tier 1,Senior (6-10 yrs),Full-Time,,35.1,"AWS, Node.js, Docker",M.Tech/M.E.
React Developer,,MNC,HealthTech,,Tier 1,Mid (3-6 yrs),Full-Time,,13.6,"Redux, React, Next.js, HTML/CSS",MCA
iOS Developer,,MNC,Information Technology,,Tier 1,Lead (10+ yrs),Full-Time,,57.1,"Swift, Xcode, Firebase",B.Tech/B.E.
AI Engineer,,PSU/Govt,Banking & Finance,,Tier 1,Fresher (0-1 yr),Full-Time,,4.6,"Prompt Engineering, OpenAI API, Vector DBs, RAG",BCA
MLOps Engineer,,Indian Unicorn,HealthTech,,Tier 1,Junior (1-3 yrs),Full-Time,,11,"CI/CD, Python, Docker, MLflow, AWS",MCA
Android Developer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Full-Time,,10,"Android SDK, Firebase, Java",MBA
QA Engineer,,Startup,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,7.1,"Manual Testing, API Testing, Postman, Python, JIRA",MCA
Data Analyst,,MNC,Consulting,,Tier 1,Mid (3-6 yrs),Full-Time,,16,"Power BI, Statistics, Tableau",MCA
Cybersecurity Analyst,,Startup,Information Technology,,Tier 2,Fresher (0-1 yr),Full-Time,,5,"Python, SIEM, Network Security, Penetration Testing, Ethical Hacking",B.Com + Certification
Full Stack Developer,,Indian Unicorn,E-Commerce,,Tier 1,Lead (10+ yrs),Full-Time,,69.6,"Docker, Node.js, Python, React",B.Tech/B.E.
Data Scientist,,Startup,Logistics,,Tier 1,Junior (1-3 yrs),Contract,,18.2,"Statistics, Pandas, Tableau, Deep Learning, NLP, Machine Learning",B.Tech/B.E.
iOS Developer,,MNC,Information Technology,,Remote,Lead (10+ yrs),Full-Time,,49.5,"Swift, Firebase, REST APIs, Core Data, SwiftUI",B.Sc (CS/IT)
Backend Developer,,Indian Unicorn,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,48.6,"Django, PostgreSQL, Redis",MBA
React Developer,,Startup,Information Technology,,Remote,Junior (1-3 yrs),Part-Time,,12.6,"JavaScript, Next.js, Redux",B.Tech/B.E.
Business Analyst,,Startup,Information Technology,,Tier 1,Fresher (0-1 yr),Full-Time,,5.2,"JIRA, Power BI, Agile, Excel, Requirements Gathering, SQL",B.Sc (CS/IT)
Machine Learning Engineer,,MNC,E-Commerce,,Remote,Fresher (0-1 yr),Full-Time,,6.6,"TensorFlow, AWS, Docker",M.Tech/M.E.
Java Developer,,MNC,Consulting,,Tier 2,Junior (1-3 yrs),Full-Time,,9.1,"SQL, Hibernate, Maven, Spring Boot, Java, REST APIs",B.Tech/B.E.
Java Developer,,PSU/Govt,EdTech,,Tier 1,Junior (1-3 yrs),Full-Time,,7.1,"Java, SQL, Spring Boot",B.Tech/B.E.
Java Developer,,MNC,FinTech,,Remote,Fresher (0-1 yr),Full-Time,,5.4,"Spring Boot, Microservices, SQL, Maven, Hibernate, REST APIs",B.Tech/B.E.
Backend Developer,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,5.2,"Docker, Node.js, Django, PostgreSQL",MBA
Data Engineer,,MNC,Information Technology,,Remote,Mid (3-6 yrs),Full-Time,,14.5,"AWS, dbt, SQL, Spark, ETL, Python",B.Sc (CS/IT)
Node.js Developer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Contract,,11.5,"JavaScript, Node.js, MongoDB, REST APIs, TypeScript",BCA
Research Scientist,,Indian Unicorn,E-Commerce,,Tier 1,Fresher (0-1 yr),Full-Time,,8,"PyTorch, R, Deep Learning, Statistics",B.Tech/B.E.
AI Engineer,,MNC,Information Technology,,Remote,Junior (1-3 yrs),Part-Time,,9.6,"LangChain, Vector DBs, RAG, Prompt Engineering",B.Tech/B.E.
Node.js Developer,,Startup,Information Technology,,Tier 1,Senior (6-10 yrs),Full-Time,,28.8,"TypeScript, JavaScript, REST APIs",B.Tech/B.E.
Research Scientist,,MNC,Telecom,,Tier 1,Fresher (0-1 yr),Internship,,2,"PyTorch, Statistics, Deep Learning",B.Tech/B.E.
Python Developer,,Startup,Media & Entertainment,,Tier 1,Junior (1-3 yrs),Full-Time,,12,"Python, REST APIs, PostgreSQL, Django, AWS, Docker",B.Tech/B.E.
