Role,Company_Type,Industry,Location_Tier,Job_Type,Salary_LPA,Skills_Required,Education_Required,years_avg,post
Machine Learning Engineer,PSU/Govt,E-Commerce,Tier 1,Full-Time,8.5,"PyTorch, Scikit-learn, TensorFlow, MLOps, Docker, Python",M.Tech/M.E.,2,junior
Python Developer,MNC,Gaming,Tier 1,Full-Time,30.1,"FastAPI, AWS, PostgreSQL, REST APIs, Django, Docker",M.Tech/M.E.,8,senior
React Developer,Indian Unicorn,Telecom,Remote,Full-Time,12.6,"JavaScript, Next.js, TypeScript",M.Tech/M.E.,2,junior
Cybersecurity Analyst,Startup,HealthTech,Remote,Internship,2.5,"SIEM, Ethical Hacking, Penetration Testing",B.Tech/B.E.,0.5,fresher
Android Developer,PSU/Govt,Information Technology,Tier 2,Internship,1.8,"Kotlin, Firebase, Android SDK, REST APIs, Java",B.Tech/B.E.,10,lead
Python Developer,MNC,Information Technology,Remote,Full-Time,23.2,"REST APIs, FastAPI, Python, AWS, Django",M.Tech/M.E.,4.5,mid
Power BI Developer,MNC,E-Commerce,Tier 2,Full-Time,36.6,"Data Modeling, SQL, ETL, Power BI, Azure",B.Tech/B.E.,8,senior
Blockchain Developer,MNC,Information Technology,Remote,Full-Time,40.6,"Ethereum, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.,8,senior
AI Engineer,PSU/Govt,FinTech,Remote,Internship,3,"LangChain, NLP, RAG, Prompt Engineering, OpenAI API",M.Tech/M.E.,2,junior
React Developer,Startup,Information Technology,Remote,Full-Time,6,"Next.js, Redux, TypeScript, React, HTML/CSS",B.Tech/B.E.,0.5,fresher
Node.js Developer,MNC,Information Technology,Tier 2,Full-Time,67,"REST APIs, Node.js, JavaScript, TypeScript, MongoDB",B.Com + Certification,10,lead
Technical Lead,Indian Unicorn,Government/PSU,Tier 2,Contract,18.8,"Microservices, Agile, Code Review, System Design, AWS",B.Tech/B.E.,4.5,mid
Android Developer,MNC,Information Technology,Tier 1,Contract,48.4,"Kotlin, Android SDK, Java",BCA,10,lead
Data Engineer,Indian Unicorn,Information Technology,Remote,Internship,2.6,"SQL, dbt, Spark, Python",PhD,8,senior
MLOps Engineer,MNC,E-Commerce,Tier 1,Full-Time,10.5,"Airflow, AWS, Kubernetes",B.Tech/B.E.,2,junior
Business Analyst,Indian Unicorn,Manufacturing,Tier 1,Full-Time,42.6,"Power BI, Agile, Excel",M.Tech/M.E.,8,senior
UI/UX Designer,Indian Unicorn,Information Technology,Remote,Full-Time,21.6,"Wireframing, CSS, Adobe XD, Prototyping",BCA,4.5,mid
Frontend Developer,MNC,Information Technology,Tier 1,Full-Time,20.8,"Figma, JavaScript, Next.js, React, TypeScript",M.Tech/M.E.,4.5,mid
React Developer,PSU/Govt,EdTech,Remote,Full-Time,23.3,"JavaScript, React, TypeScript, Redux, HTML/CSS, Next.js",B.Tech/B.E.,10,lead
Research Scientist,Startup,Information Technology,Remote,Contract,6.3,"Deep Learning, PyTorch, Python, R, Publications",B.Tech/B.E.,0.5,fresher
Research Scientist,MNC,FinTech,Tier 1,Full-Time,21.5,"Python, R, Statistics",B.Com + Certification,4.5,mid
Cloud Engineer,Startup,Manufacturing,Tier 1,Full-Time,4.9,"AWS, Azure, Terraform, Linux, Docker",M.Tech/M.E.,0.5,fresher
Backend Developer,MNC,E-Commerce,Tier 1,Full-Time,5.8,"Python, MongoDB, Redis, PostgreSQL, Node.js",B.Sc (CS/IT),0.5,fresher
MLOps Engineer,Indian Unicorn,Consulting,Tier 2,Full-Time,6.8,"Docker, Airflow, CI/CD, Kubernetes, Python",BCA,0.5,fresher
Blockchain Developer,MNC,Banking & Finance,Tier 1,Full-Time,23.8,"Ethereum, Python, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.,4.5,mid
Data Analyst,PSU/Govt,EdTech,Remote,Full-Time,18.7,"Data Visualization, Statistics, Power BI, Excel, Tableau",BCA,8,senior
MLOps Engineer,Indian Unicorn,HealthTech,Tier 1,Full-Time,7.5,"AWS, CI/CD, Python",B.Com + Certification,0.5,fresher
Node.js Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,8.5,"TypeScript, Node.js, Express.js, JavaScript, MongoDB",B.Tech/B.E.,2,junior
Full Stack Developer,PSU/Govt,FinTech,Tier 1,Full-Time,12.7,"PostgreSQL, Python, Docker, REST APIs, Node.js, MongoDB",B.Tech/B.E.,4.5,mid
Research Scientist,Startup,Banking & Finance,Tier 1,Full-Time,82,"Statistics, PyTorch, NLP",B.Sc (CS/IT),10,lead
Software Engineer,PSU/Govt,E-Commerce,Remote,Full-Time,4.2,"System Design, Git, Algorithms",M.Tech/M.E.,0.5,fresher
QA Engineer,Startup,Logistics,Tier 1,Full-Time,6.5,"Python, API Testing, Manual Testing, Postman, JIRA, Selenium",BCA,0.5,fresher
Python Developer,Startup,Information Technology,Tier 1,Internship,1,"PostgreSQL, Python, AWS, Docker, Django",BCA,8,senior
Cloud Engineer,PSU/Govt,FinTech,Remote,Full-Time,23.3,"GCP, Azure, AWS",B.Tech/B.E.,10,lead
Python Developer,MNC,E-Commerce,Remote,Full-Time,14.8,"Python, FastAPI, Django",B.Tech/B.E.,4.5,mid
Machine Learning Engineer,MNC,Information Technology,Tier 1,Internship,1.6,"Scikit-learn, Docker, TensorFlow",MBA,2,junior
iOS Developer,MNC,Information Technology,Tier 1,Internship,1.5,"Core Data, REST APIs, Xcode",B.Sc (CS/IT),4.5,mid
Android Developer,MNC,HealthTech,Tier 2,Full-Time,4.8,"Firebase, Jetpack Compose, Java, Kotlin, Android SDK, REST APIs",B.Sc (CS/IT),0.5,fresher
Data Analyst,PSU/Govt,FinTech,Remote,Internship,2.8,"Power BI, SQL, Data Visualization, Tableau, Excel",MCA,2,junior
Full Stack Developer,Startup,EdTech,Remote,Full-Time,5.4,"Docker, REST APIs, Python",B.Tech/B.E.,0.5,fresher
Cybersecurity Analyst,Indian Unicorn,Banking & Finance,Remote,Full-Time,22.2,"Ethical Hacking, SIEM, Python, Network Security, Penetration Testing",B.Tech/B.E.,4.5,mid
AI Engineer,MNC,E-Commerce,Tier 1,Full-Time,71.4,"LLMs, OpenAI API, NLP, Prompt Engineering, LangChain, Vector DBs",B.Tech/B.E.,10,lead
UI/UX Designer,Indian Unicorn,Retail,Remote,Full-Time,13.3,"Adobe XD, Figma, CSS, Prototyping, Wireframing, User Research",B.Tech/B.E.,2,junior
Power BI Developer,Startup,Manufacturing,Tier 1,Full-Time,13.7,"Azure, SQL, Data Modeling, DAX",MCA,2,junior
Product Manager,Indian Unicorn,FinTech,Tier 1,Contract,7.2,"User Research, SQL, Roadmapping, Product Strategy, A/B Testing, Agile",MCA,0.5,fresher
AI Engineer,Startup,Gaming,Tier 2,Full-Time,36.9,"OpenAI API, LLMs, Prompt Engineering, LangChain",B.Sc (CS/IT),8,senior
React Developer,MNC,E-Commerce,Remote,Full-Time,5.5,"JavaScript, Next.js, TypeScript, Redux",B.Tech/B.E.,0.5,fresher
Android Developer,Indian Unicorn,HealthTech,Tier 1,Full-Time,14.2,"Jetpack Compose, Java, Firebase, REST APIs, Android SDK",B.Tech/B.E.,2,junior
Cybersecurity Analyst,MNC,FinTech,Tier 1,Part-Time,9.9,"Python, Network Security, Penetration Testing, Ethical Hacking, SIEM",MCA,2,junior
Frontend Developer,Indian Unicorn,Information Technology,Tier 1,Contract,51.3,"HTML/CSS, TypeScript, Figma, React, Next.js, JavaScript",B.Tech/B.E.,8,senior
Data Analyst,MNC,Information Technology,Remote,Full-Time,9.6,"Data Visualization, Tableau, Power BI, SQL, Excel",B.Tech/B.E.,2,junior
Data Analyst,Indian Unicorn,FinTech,Remote,Full-Time,24.3,"Python, Power BI, Excel, Data Visualization, Statistics",MCA,4.5,mid
UI/UX Designer,Startup,FinTech,Remote,Full-Time,37.4,"Prototyping, User Research, Wireframing, CSS, Adobe XD",B.Tech/B.E.,8,senior
Power BI Developer,Indian Unicorn,Automobile,Remote,Full-Time,17,"ETL, Power BI, Data Modeling, Excel",M.Tech/M.E.,4.5,mid
DevOps Engineer,Startup,Information Technology,Tier 1,Full-Time,4.8,"Ansible, CI/CD, Linux, Docker, Kubernetes, Jenkins",MCA,0.5,fresher
DevOps Engineer,PSU/Govt,Manufacturing,Remote,Full-Time,8.8,"Ansible, Kubernetes, CI/CD, Jenkins, Terraform",B.Sc (CS/IT),4.5,mid
QA Engineer,Startup,Information Technology,Tier 1,Contract,22.1,"Postman, JIRA, Python, Manual Testing, Selenium, API Testing",M.Tech/M.E.,4.5,mid
Product Manager,MNC,EdTech,Tier 1,Full-Time,16.6,"Roadmapping, Agile, Product Strategy, User Research",B.Tech/B.E.,4.5,mid
AI Engineer,PSU/Govt,FinTech,Remote,Full-Time,13.2,"RAG, OpenAI API, Vector DBs",BCA,4.5,mid
Software Engineer,PSU/Govt,Gaming,Remote,Part-Time,28.7,"System Design, C++, Data Structures",B.Tech/B.E.,10,lead
React Developer,Indian Unicorn,Information Technology,Remote,Full-Time,6.6,"Next.js, JavaScript, HTML/CSS, TypeScript, Redux",MCA,0.5,fresher
Software Engineer,MNC,Logistics,Remote,Full-Time,9.2,"Algorithms, System Design, C++",B.Tech/B.E.,2,junior
DevOps Engineer,Indian Unicorn,FinTech,Remote,Full-Time,27.3,"Ansible, Kubernetes, AWS, Terraform",B.Tech/B.E.,4.5,mid
Business Analyst,Startup,Manufacturing,Tier 2,Full-Time,34.1,"SQL, Agile, Excel",B.Tech/B.E.,8,senior
Cloud Engineer,Startup,Information Technology,Tier 2,Full-Time,30.3,"Docker, Terraform, GCP",M.Tech/M.E.,8,senior
MLOps Engineer,MNC,Government/PSU,Tier 2,Contract,59.5,"Kubernetes, CI/CD, Airflow, MLflow, Python, AWS",B.Tech/B.E.,10,lead
Business Analyst,Startup,Consulting,Remote,Full-Time,9.3,"Requirements Gathering, Agile, JIRA, Power BI, Excel",MCA,2,junior
Technical Lead,Startup,Information Technology,Remote,Internship,2.4,"Code Review, System Design, Agile",B.Tech/B.E.,2,junior
Business Analyst,Startup,EdTech,Remote,Full-Time,73,"Excel, Power BI, JIRA, Agile, SQL",M.Tech/M.E.,10,lead
React Developer,PSU/Govt,Banking & Finance,Tier 2,Part-Time,25.4,"Redux, JavaScript, TypeScript, Next.js, React, HTML/CSS",B.Tech/B.E.,10,lead
Java Developer,PSU/Govt,Information Technology,Remote,Full-Time,7.9,"Java, Maven, Spring Boot, SQL, REST APIs",M.Tech/M.E.,2,junior
Software Engineer,Startup,Logistics,Tier 2,Contract,24.2,"Python, System Design, Data Structures, REST APIs",B.Tech/B.E.,4.5,mid
Full Stack Developer,MNC,E-Commerce,Remote,Full-Time,8.2,"Docker, Node.js, Python, REST APIs, MongoDB, React",B.Sc (CS/IT),2,junior
Data Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,8.7,"SQL, dbt, Airflow, AWS, ETL",M.Tech/M.E.,0.5,fresher
Data Engineer,MNC,Information Technology,Remote,Full-Time,55.5,"Python, Airflow, Spark",B.Sc (CS/IT),10,lead
Business Analyst,Indian Unicorn,EdTech,Tier 2,Full-Time,81.3,"Agile, Power BI, JIRA",M.Tech/M.E.,10,lead
Technical Lead,MNC,FinTech,Tier 1,Full-Time,12,"Team Leadership, Agile, Code Review",MCA,2,junior
Java Developer,MNC,Information Technology,Tier 2,Full-Time,4.7,"Java, Hibernate, REST APIs, Microservices",B.Tech/B.E.,0.5,fresher
Node.js Developer,MNC,Information Technology,Remote,Contract,7.7,"Express.js, MongoDB, Node.js",M.Tech/M.E.,2,junior
DevOps Engineer,MNC,FinTech,Remote,Full-Time,28.9,"Kubernetes, Terraform, Linux, Jenkins",MCA,8,senior
NLP Engineer,Startup,E-Commerce,Remote,Full-Time,6.7,"HuggingFace, BERT, SpaCy, TensorFlow, Python, LLMs",B.Tech/B.E.,0.5,fresher
UI/UX Designer,Startup,FinTech,Tier 1,Full-Time,6.7,"Figma, Adobe XD, Wireframing, Prototyping",B.Tech/B.E.,0.5,fresher
Full Stack Developer,MNC,Banking & Finance,Remote,Full-Time,6,"Python, Docker, MongoDB, Node.js",M.Tech/M.E.,0.5,fresher
Software Engineer,MNC,E-Commerce,Tier 1,Part-Time,6.4,"Python, REST APIs, C++, Java, Data Structures, Git",BCA,2,junior
Cloud Engineer,Startup,E-Commerce,Remote,Full-Time,11.1,"GCP, Linux, Terraform, Azure, Docker, Kubernetes",B.Tech/B.E.,2,junior
Data Engineer,Indian Unicorn,Information Technology,Remote,Internship,1.2,"dbt, AWS, Airflow",MCA,0.5,fresher
Python Developer,MNC,FinTech,Remote,Contract,15.9,"Docker, PostgreSQL, AWS, Python, REST APIs",B.Tech/B.E.,4.5,mid
Data Analyst,PSU/Govt,Information Technology,Remote,Full-Time,21.1,"Tableau, Power BI, Data Visualization, Python",M.Tech/M.E.,10,lead
Data Scientist,MNC,FinTech,Remote,Part-Time,5.6,"NLP, Deep Learning, Pandas, Statistics",M.Tech/M.E.,0.5,fresher
Frontend Developer,Startup,Telecom,Tier 1,Full-Time,26.9,"Next.js, JavaScript, TypeScript, HTML/CSS",B.Tech/B.E.,4.5,mid
Android Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,11.6,"REST APIs, Kotlin, Java",B.Tech/B.E.,2,junior
React Developer,Indian Unicorn,Consulting,Tier 1,Full-Time,24.3,"Next.js, HTML/CSS, React, TypeScript, Redux",BCA,4.5,mid
QA Engineer,Indian Unicorn,Manufacturing,Tier 2,Full-Time,13.8,"API Testing, Python, Postman, Manual Testing",BCA,2,junior
React Developer,PSU/Govt,Manufacturing,Tier 1,Full-Time,23.3,"Redux, JavaScript, React, TypeScript, HTML/CSS, Next.js",M.Tech/M.E.,10,lead
Python Developer,Indian Unicorn,EdTech,Tier 2,Full-Time,32.4,"AWS, Docker, REST APIs",PhD,4.5,mid
Android Developer,MNC,Gaming,Remote,Contract,12.8,"Java, REST APIs, Android SDK, Jetpack Compose",B.Tech/B.E.,2,junior
Software Engineer,MNC,Manufacturing,Tier 2,Full-Time,8.5,"Python, REST APIs, Data Structures, Java, C++",B.Tech/B.E.,2,junior
QA Engineer,Startup,FinTech,Remote,Full-Time,20.7,"Postman, API Testing, JIRA",M.Tech/M.E.,4.5,mid
React Developer,Startup,Banking & Finance,Remote,Full-Time,18.9,"JavaScript, Redux, TypeScript, HTML/CSS, Next.js, React",B.Tech/B.E.,4.5,mid
Full Stack Developer,Startup,Gaming,Tier 1,Full-Time,35.1,"AWS, Node.js, Docker",M.Tech/M.E.,8,senior
React Developer,MNC,HealthTech,Tier 1,Full-Time,13.6,"Redux, React, Next.js, HTML/CSS",MCA,4.5,mid
iOS Developer,MNC,Information Technology,Tier 1,Full-Time,57.1,"Swift, Xcode, Firebase",B.Tech/B.E.,10,lead
AI Engineer,PSU/Govt,Banking & Finance,Tier 1,Full-Time,4.6,"Prompt Engineering, OpenAI API, Vector DBs, RAG",BCA,0.5,fresher
MLOps Engineer,Indian Unicorn,HealthTech,Tier 1,Full-Time,11,"CI/CD, Python, Docker, MLflow, AWS",MCA,2,junior
Android Developer,Startup,Information Technology,Remote,Full-Time,10,"Android SDK, Firebase, Java",MBA,2,junior
QA Engineer,Startup,Information Technology,Tier 1,Full-Time,7.1,"Manual Testing, API Testing, Postman, Python, JIRA",MCA,0.5,fresher
Data Analyst,MNC,Consulting,Tier 1,Full-Time,16,"Power BI, Statistics, Tableau",MCA,4.5,mid
Cybersecurity Analyst,Startup,Information Technology,Tier 2,Full-Time,5,"Python, SIEM, Network Security, Penetration Testing, Ethical Hacking",B.Com + Certification,0.5,fresher
Full Stack Developer,Indian Unicorn,E-Commerce,Tier 1,Full-Time,69.6,"Docker, Node.js, Python, React",B.Tech/B.E.,10,lead
Data Scientist,Startup,Logistics,Tier 1,Contract,18.2,"Statistics, Pandas, Tableau, Deep Learning, NLP, Machine Learning",B.Tech/B.E.,2,junior
iOS Developer,MNC,Information Technology,Remote,Full-Time,49.5,"Swift, Firebase, REST APIs, Core Data, SwiftUI",B.Sc (CS/IT),10,lead
Backend Developer,Indian Unicorn,Information Technology,Remote,Full-Time,48.6,"Django, PostgreSQL, Redis",MBA,8,senior
React Developer,Startup,Information Technology,Remote,Part-Time,12.6,"JavaScript, Next.js, Redux",B.Tech/B.E.,2,junior
Business Analyst,Startup,Information Technology,Tier 1,Full-Time,5.2,"JIRA, Power BI, Agile, Excel, Requirements Gathering, SQL",B.Sc (CS/IT),0.5,fresher
Machine Learning Engineer,MNC,E-Commerce,Remote,Full-Time,6.6,"TensorFlow, AWS, Docker",M.Tech/M.E.,0.5,fresher
Java Developer,MNC,Consulting,Tier 2,Full-Time,9.1,"SQL, Hibernate, Maven, Spring Boot, Java, REST APIs",B.Tech/B.E.,2,junior
Java Developer,PSU/Govt,EdTech,Tier 1,Full-Time,7.1,"Java, SQL, Spring Boot",B.Tech/B.E.,2,junior
Java Developer,MNC,FinTech,Remote,Full-Time,5.4,"Spring Boot, Microservices, SQL, Maven, Hibernate, REST APIs",B.Tech/B.E.,0.5,fresher
Backend Developer,MNC,Information Technology,Remote,Full-Time,5.2,"Docker, Node.js, Django, PostgreSQL",MBA,0.5,fresher
Data Engineer,MNC,Information Technology,Remote,Full-Time,14.5,"AWS, dbt, SQL, Spark, ETL, Python",B.Sc (CS/IT),4.5,mid
Node.js Developer,MNC,Information Technology,Remote,Contract,11.5,"JavaScript, Node.js, MongoDB, REST APIs, TypeScript",BCA,2,junior
Research Scientist,Indian Unicorn,E-Commerce,Tier 1,Full-Time,8,"PyTorch, R, Deep Learning, Statistics",B.Tech/B.E.,0.5,fresher
AI Engineer,MNC,Information Technology,Remote,Part-Time,9.6,"LangChain, Vector DBs, RAG, Prompt Engineering",B.Tech/B.E.,2,junior
Node.js Developer,Startup,Information Technology,Tier 1,Full-Time,28.8,"TypeScript, JavaScript, REST APIs",B.Tech/B.E.,8,senior
Research Scientist,MNC,Telecom,Tier 1,Internship,2,"PyTorch, Statistics, Deep Learning",B.Tech/B.E.,0.5,fresher
Python Developer,Startup,Media & Entertainment,Tier 1,Full-Time,12,"Python, REST APIs, PostgreSQL, Django, AWS, Docker",B.Tech/B.E.,2,junior
Backend Developer,MNC,Automobile,Remote,Full-Time,3.8,"Node.js, MongoDB, PostgreSQL, Python, FastAPI, Django",B.Tech/B.E.,0.5,fresher
DevOps Engineer,Indian Unicorn,FinTech,Tier 2,Full-Time,24.2,"Jenkins, Docker, Ansible, CI/CD, AWS, Terraform",M.Tech/M.E.,4.5,mid
Machine Learning Engineer,MNC,E-Commerce,Remote,Full-Time,18.7,"TensorFlow, Docker, MLOps, Scikit-learn, AWS",MBA,4.5,mid
Backend Developer,Indian Unicorn,HealthTech,Remote,Full-Time,7.7,"Django, Node.js, MongoDB, Docker, FastAPI, PostgreSQL",B.Sc (CS/IT),0.5,fresher
Backend Developer,MNC,Manufacturing,Remote,Contract,15.4,"Redis, Java, Python",BCA,4.5,mid
Power BI Developer,Indian Unicorn,Information Technology,Remote,Contract,13.7,"Data Modeling, SQL, ETL, Excel, Power BI, DAX",B.Tech/B.E.,2,junior
Python Developer,PSU/Govt,Gaming,Remote,Contract,16.5,"PostgreSQL, AWS, REST APIs, Python, Docker, Django",B.Tech/B.E.,8,senior
Data Scientist,PSU/Govt,Information Technology,Remote,Contract,24.2,"TensorFlow, Tableau, Deep Learning, Scikit-learn, Pandas",B.Sc (CS/IT),8,senior
Blockchain Developer,Startup,Government/PSU,Tier 1,Full-Time,17,"Python, Web3.js, Solidity, Smart Contracts",M.Tech/M.E.,4.5,mid
React Developer,Startup,Government/PSU,Tier 1,Full-Time,36.1,"TypeScript, Redux, Next.js, HTML/CSS, React",MCA,8,senior
Software Engineer,Startup,Manufacturing,Tier 2,Contract,4.9,"Java, Python, Algorithms, Git, System Design, C++",B.Tech/B.E.,0.5,fresher
Data Scientist,Startup,Information Technology,Tier 2,Full-Time,94.8,"TensorFlow, Scikit-learn, NLP, Deep Learning, Machine Learning",B.Tech/B.E.,10,lead
Java Developer,Indian Unicorn,EdTech,Tier 1,Contract,85.1,"Hibernate, Java, Microservices",B.Tech/B.E.,10,lead
QA Engineer,PSU/Govt,Consulting,Remote,Contract,15.9,"Manual Testing, Python, Selenium, JIRA, API Testing",BCA,8,senior
Data Scientist,Startup,Banking & Finance,Remote,Full-Time,26.5,"NLP, TensorFlow, Machine Learning, Scikit-learn, Pandas",MBA,4.5,mid
Backend Developer,Startup,Gaming,Remote,Full-Time,24.4,"PostgreSQL, FastAPI, Redis, Java, Django",M.Tech/M.E.,4.5,mid
Technical Lead,MNC,Information Technology,Tier 1,Full-Time,33.1,"Microservices, Team Leadership, Agile, Code Review",B.Sc (CS/IT),8,senior
Data Analyst,MNC,Information Technology,Remote,Full-Time,5.1,"Data Visualization, SQL, Excel, Tableau, Power BI, Python",MCA,0.5,fresher
Business Analyst,Startup,Information Technology,Remote,Full-Time,5.2,"Excel, SQL, Requirements Gathering, Power BI, JIRA",B.Sc (CS/IT),0.5,fresher
Cybersecurity Analyst,Indian Unicorn,FinTech,Remote,Full-Time,55.6,"Network Security, Penetration Testing, Python, SIEM",B.Tech/B.E.,10,lead
Full Stack Developer,Startup,Retail,Tier 1,Full-Time,13.8,"React, Docker, REST APIs",BCA,2,junior
